r,g,b,h,s,v,c,m,y,k,hex,name
208,49,45,0.0041,0.7837,0.8157,0.0,0.7644,0.7837,0.1843,D0312D,Red
153,15,2,0.0143,0.9869,0.6,0.0,0.902,0.9869,0.4,990F02,Cherry Red
227,36,43,0.9939,0.8414,0.8902,0.0,0.8414,0.8106,0.1098,E3242B,Rose
96,16,11,0.0098,0.8854,0.3765,0.0,0.8333,0.8854,0.6235,60100B,Jam
84,30,27,0.0088,0.6786,0.3294,0.0,0.6429,0.6786,0.6706,541E1B,Merlot
97,12,4,0.0143,0.9588,0.3804,0.0,0.8763,0.9588,0.6196,610C04,Garnet
185,14,10,0.0038,0.9459,0.7255,0.0,0.9243,0.9459,0.2745,B90E0A,Crimson
144,6,3,0.0035,0.9792,0.5647,0.0,0.9583,0.9792,0.4353,900603,Ruby
144,13,9,0.0049,0.9375,0.5647,0.0,0.9097,0.9375,0.4353,900D09,Scarlet
78,7,7,0.0,0.9103,0.3059,0.0,0.9103,0.9103,0.6941,4E0707,Wine
126,40,17,0.0352,0.8651,0.4941,0.0,0.6825,0.8651,0.5059,7E2811,Brick
169,27,13,0.015,0.9231,0.6627,0.0,0.8402,0.9231,0.3373,A91B0D,Apple
66,12,9,0.0088,0.8636,0.2588,0.0,0.8182,0.8636,0.7412,420C09,Mahogany
113,12,4,0.0122,0.9646,0.4431,0.0,0.8938,0.9646,0.5569,710C04,Blood
94,25,22,0.0069,0.766,0.3686,0.0,0.734,0.766,0.6314,5E1916,Sangria Red
122,23,18,0.008,0.8525,0.4784,0.0,0.8115,0.8525,0.5216,7A1712,Berry
104,12,7,0.0086,0.9327,0.4078,0.0,0.8846,0.9327,0.5922,680C07,Currant
188,84,75,0.0133,0.6011,0.7373,0.0,0.5532,0.6011,0.2627,BC544B,Blush Red
210,20,4,0.0129,0.981,0.8235,0.0,0.9048,0.981,0.1765,D21404,Candy
155,16,3,0.0143,0.9806,0.6078,0.0,0.8968,0.9806,0.3922,9B1003,Lipstick
150,0,24,0.9733,1.0,0.5882,0.0,1.0,0.84,0.4118,960018,Carmine
202,52,51,0.0011,0.7475,0.7922,0.0,0.7426,0.7475,0.2078,CA3433,Persian Red
126,25,27,0.9967,0.8016,0.4941,0.0,0.8016,0.7857,0.5059,7E191B,Vermilion
237,41,57,0.9864,0.827,0.9294,0.0,0.827,0.7595,0.0706,ED2939,Imperial Red
205,92,92,0.0,0.5512,0.8039,0.0,0.5512,0.5512,0.1961,CD5C5C,Indian Red
194,24,7,0.0152,0.9639,0.7608,0.0,0.8763,0.9639,0.2392,C21807,Chili Red
128,0,0,0.0,1.0,0.502,0.0,1.0,1.0,0.498,800000,Maroon
178,34,34,0.0,0.809,0.698,0.0,0.809,0.809,0.302,B22222,Fire Brick
